,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
257,6.73,Carlinhos CS Alagoano,34, D(L),26,2275,2,-,0.7,1.1,0.7,0.9,0.1,0.5,0.6
258,6.73,Samuel Xavier Ceara,31, D(R),33,2958,-,3,0.8,1,1.0,1.9,0.1,0.8,0.9
259,6.73,Juninho Bahia,26, D(CL),27,2430,1,-,0.6,0.1,0.2,0.7,-,0.2,0.4
260,6.73,Manoel Corinthians,31, D(C),31,2790,1,-,0.5,0.1,-,0.5,-,0.1,0.3
261,6.73,Vitor Bueno Sao Paulo,27, AM(CLR),18(10),1653,6,1,1.4,0.6,1.1,1.3,-,0.8,1.4
262,6.73,Thalles Goias,23, AM(C),6(4),634,1,1,1.1,2,0.5,1.1,0.1,0.6,0.9
263,6.73,Fabio Sanches Goias,30, D(C),25,2250,1,-,0.4,0.1,-,0.9,-,-,0.1
264,6.73,Diego Tardelli Gremio,36, AM(CLR),23(6),1960,4,1,1.3,0.9,0.9,0.9,0.2,0.9,1
265,6.73,Alerrandro Atletico MG,21, FW,6(4),557,2,1,2,0.7,0.4,0.9,0.3,0.4,1.3
266,6.72,Nílton CS Alagoano,34, DMC,12,893,1,-,0.8,0.3,0.5,0.8,-,0.3,0.8
267,6.72,Orinho Fluminense,26, Defender,3(2),236,-,-,0.6,0.8,0.4,0.6,-,1,0.4
268,6.72,Fernando Prass Palmeiras,43, GK,3,270,-,-,-,-,-,-,-,-,-
269,6.72,Diego Pituca Santos FC,29, DMC,31(4),2790,2,1,0.9,1,0.4,1,-,0.5,1.1
270,6.72,Diego Flamengo,36, M(CLR),10(6),888,1,1,1.7,1.4,0.9,1.9,-,0.3,0.9
271,6.72,Diego Sao Paulo,22, D(C),0(1),38,-,-,-,-,-,-,-,-,-
272,6.72,Tiago Alves Ceara,37, D(C),19(2),1747,1,1,0.5,0.2,-,0.1,0.1,0.1,0.1
273,6.72,Júnior Urso Corinthians,32, M(CR),26(1),2137,3,-,1.2,0.6,0.9,0.9,-,1,1.2
274,6.72,Osvaldo Fortaleza,34, AM(CLR),22(10),1726,7,5,1.3,0.7,1.3,0.7,0.1,1,1.8
275,6.72,Pedro Fluminense,24, FW,7(3),628,5,-,2.7,0.8,0.7,0.7,0.3,1.4,1.7
276,6.71,Yuri Fluminense,27, D(C),21(4),1812,-,-,0.4,0.6,0.4,0.6,-,0.2,0.6
277,6.71,Patric Atletico MG,32, D(LR),23(1),2049,1,2,1.2,1,1.1,0.4,0.1,0.5,1.3
278,6.71,Jefferson Goias,24, D(L),31(2),2651,1,2,0.5,1,1.1,1,-,0.4,0.9
279,6.71,Nonato Internacional,23, AM(C),20(6),1737,3,1,0.8,0.7,0.7,0.8,-,0.9,1.2
280,6.71,David Cruzeiro,26, AM(CLR),23(10),2025,-,2,1.5,1.2,2.2,0.9,0.4,1,2
281,6.71,Míchel Macedo Corinthians,31, D(R),9(1),697,1,-,0.1,0.6,1.1,1.1,-,0.4,1.3
282,6.71,Nenê Fluminense,40, AM(CLR),19(6),1619,3,2,1.6,2,1.1,1.7,0.1,1.2,1.4
283,6.7,Edenílson Internacional,31, D(R),28(2),2473,5,2,0.9,0.9,0.7,0.8,-,0.9,1.5
284,6.7,Pepê Aquino Gremio,24, AM(L),14(18),1680,8,3,1.4,0.6,1.3,1.1,0.3,1.2,1.8
285,6.7,Lucas Frigeri Avai FC,32, Goalkeeper,4,360,-,-,-,-,-,-,-,-,-
